theoretical_quantile_t,sample_quantile,reference_line
-1.2495856465499122,-1.0605991893783495,-1.0063242248646944
-1.247832676090685,-1.0582940725025223,-1.0049171496968528
-1.246083246126593,-1.057386541725009,-1.0035129164153418
-1.2443373395109956,-1.0552929204774881,-1.0021115112568884
-1.242594939217558,-1.0529280008483057,-1.0007129205547853
-1.2408560283391243,-1.052420176356048,-0.9993171307379893
-1.2391205900866076,-1.0497530242579725,-0.9979241283302274
-1.237388607787895,-1.04511311387989,-0.9965338999491203
-1.2356600648867617,-1.0422149943026289,-0.9951464323053095
-1.2339349449417987,-1.0411962521435898,-0.993761712201597
-1.232213231625356,-1.0356721348471563,-0.9923797265320969
-1.2304949087224888,-1.034342531473123,-0.9910004622813895
-1.22877996012993,-1.0293058273125288,-0.9896239065236967
-1.2270683698550615,-1.0276107534615961,-0.988250046422056
-1.2253601220149022,-1.022878430069401,-0.9868788692275087
-1.2236552008351091,-1.0217167300163295,-0.9855103622782976
-1.221953590648988,-1.0213709722738777,-0.9841445129990729
-1.2202552758965148,-1.020886056364597,-0.9827813089001072
-1.2185602411233682,-1.018961241782303,-0.9814207375765184
-1.2168684709799749,-1.0180121258726738,-0.9800627867075035
-1.2151799502205651,-1.0161049811998053,-0.978707444055581
-1.2134946637022337,-1.0154763805136298,-0.9773546974658364
-1.2118125963840216,-1.015409742433362,-0.9760045348651855
-1.2101337333259956,-1.0122990617881011,-0.9746569442616355
-1.2084580596883512,-1.0085065298784406,-0.9733119137435651
-1.2067855607305127,-1.008297325187977,-0.9719694314790018
-1.2051162218102565,-1.007165669329755,-0.9706294857149187
-1.203450028382829,-1.0057847287589754,-0.9692920647765261
-1.2017869660000888,-0.9995294550469014,-0.9679571570665826
-1.200127020309649,-0.9976384119519958,-0.9666247510647076
-1.1984701770540318,-0.9960696582050712,-0.965294835326702
-1.196816422069833,-0.9957198097901353,-0.9639673984838778
-1.1951657412868946,-0.9923369300283615,-0.9626424292423937
-1.1935181207274879,-0.9910209684783545,-0.9613199163825998
-1.1918735465055015,-0.9894766077300189,-0.9599998487583857
-1.1902320048256463,-0.9847014486889915,-0.9586822152965419
-1.188593481982658,-0.9823047626921362,-0.9573670049961203
-1.1869579643605184,-0.9789665090027104,-0.956054206927809
-1.1853254384316811,-0.9787458520947917,-0.9547438102333106
-1.1836958907562996,-0.9777718467941706,-0.9534358041247224
-1.1820693079814777,-0.9777079581869242,-0.9521301778839357
